word,age_of_acquisition,frequency_per_million
you,4.34609,41857.1
i,2.79016,39971.2
the,3.98375,29449.2
to,3.95178,22677.8
a,2.89338,20415.3
it,4.39937,18896.3
that,5.52901,14111.3
and,4.56988,13387.8
of,4.54857,11577.2
what,3.85586,9842.45
in,3.68535,9773.41
me,3.28038,9241.94
we,5.03879,9011.9
this,4.93222,7978.73
he,3.81324,7637.2
on,4.00506,6955.73
for,4.38871,6895.1
my,2.71556,6762.73
your,4.10097,6445.39
have,3.72,6161.41
do,3.6,6135.59
no,2.71556,5971.55
be,5.11,5746.76
know,4.5,5721.18
not,3.88783,5424.96
can,4.32,5247.45
all,4.23952,5161.86
with,4.442,5048.33
just,7.01034,4749.14
get,3.17,4583.76
here,3.73864,4525.25
but,4.60185,4417.47
there,5.25193,4348.12
so,5.14536,4244.16
they,4.87894,4102.94
right,4.34609,4008.39
like,3.68535,3998.96
out,3.28038,3865.31
go,3.37,3793.04
she,3.56812,3732.88
up,2.91805,3670
about,5.07076,3631.49
if,5.3585,3541.37
him,3.42958,3484.51
oh,4.71908,3289.82
at,4.03703,3217.1
now,5.25193,3202.61
come,3.32,3140.98
one,3.2271,3072.24
how,5.3585,3056.22
well,6.15778,2990.65
her,5.09208,2835.82
want,4.16,2759.18
think,4.75,2691.39
good,3.55,2610.14
see,3.06,2556.73
let,4.53,2419.24
why,3.97309,2248.76
who,3.81324,2222.94
as,6.10449,2217.02
his,3.68535,2124.78
will,7.53,2123.65
going,5.41179,2123.29
from,4.442,2039.06
when,4.23952,2034.1
back,5.30522,2009.16
okay,3.42958,2006.27
yes,2.3106,1996.76
gonna,5.94464,1996.16
time,5.16,1958.63
look,4.05,1947.27
take,4.37,1891.04
man,3.11,1845.75
where,4.09032,1830.22
them,4.90025,1778.82
would,5.28,1767.88
some,4.84696,1727.24
tell,4.26,1724.49
or,4.1436,1705.29
us,4.18623,1695.65
say,3.42,1639.78
really,5.94464,1500.16
something,5.04945,1500.16
down,4.93222,1490.27
then,6.74391,1489.53
little,3.95,1446.39
way,5.39,1424.73
our,4.34609,1400.49
make,4.68,1387.75
too,5.10273,1371.57
never,5.07076,1362.55
by,5.41179,1340.47
over,5.57164,1323.29
more,3.78126,1298.59
need,3.56,1294.9
mean,4,1243.98
very,4.90025,1241.25
off,3.83455,1179.51
sorry,3.44,1167.96
give,4.28,1167.82
thank,3.79,1115.24
love,5.17,1114.98
people,3.52,1102.98
please,3.48287,1100.96
sure,4.85,1099.82
any,5.99792,1099.37
thing,4.58,1088.67
only,4.95353,1083.71
because,4.442,1071.02
two,4.23952,1066.35
doing,5.89135,1029.25
much,4.58054,973.255
sir,6.37,964.471
maybe,4.49528,926.451
help,3.65,921.118
anything,6.11515,907.255
these,6.4242,904
god,4.34609,903.157
even,6.37092,875.922
night,3.61,866.039
call,4.74,861.392
talk,3.68,855
nothing,5.2093,853.608
into,6.52011,844.588
first,4.38871,840.569
find,5.78,830.961
wait,4.3,830.255
put,3.72,828.451
great,5.05,820.863
thought,5.89135,808.471
day,3.5,801.824
work,5.86,798.02
life,5.89,796.647
before,5.45441,794.137
better,5.01748,794
again,5.78478,792.706
still,5.26259,788.725
home,3.86652,774.333
guy,4.11,762.608
those,5.00682,753.02
than,5.45441,738.804
around,5.94464,736.725
other,5.33,735.392
away,5.07076,730.902
new,4.72,723.784
last,4.34609,723.098
ever,6.26435,709.216
stop,2.89,707.275
keep,4.42,702.863
must,4.58,699.235
big,2.89,682.824
after,5.99792,682.588
long,4.23952,675.157
always,6.26435,655.255
their,5.26259,655.157
everything,4.442,654.882
nice,3.95,649.51
name,3.68,641.863
money,5.11,640.765
feel,5.11,627.235
believe,5.78,625.137
thanks,3.53,623.314
old,3.72,608.941
place,4.95,602.667
fine,7.44,598.078
kind,4.89,590.686
hello,3.75995,585.431
lot,6.26435,569.922
leave,5.58,560.706
girl,4,557.118
hear,3.8,555.353
father,4.11,554.49
through,5.81675,549.529
every,4.19689,549.157
bad,2.79,545.176
listen,5.4,544.784
remember,5.63,542.471
three,3.68535,542.235
boy,3.67,529.824
coming,4.77237,527.02
wrong,4.22,523.098
stay,4.22,515.647
house,3.16,514
may,5.65,511.373
baby,3.84,509.373
another,5.04945,509.216
dad,2.58,507.255
enough,6.95705,501.333
show,6.21,488.353
course,7.3407,487.216
being,5.98726,485.902
care,5.65,485.255
mind,5.37,484.608
left,5.57164,484.451
ask,2.89,483.137
car,3.37,483.059
understand,6.17,482.451
mother,2.63,479.922
which,6.58406,477.235
try,3.44,476.745
shit,6.53,474.647
hell,5.11,470.824
miss,6.33,467.647
own,5.2093,459.196
world,5.32,455.216
guess,5.44,453.98
next,4.34609,452.745
kill,6.35,452.569
else,6.53077,449.157
dead,5.17,448.98
someone,4.92156,446.118
real,4.95,442.804
room,4.22,439.51
morning,4,439
hold,4.67,436.725
woman,4.95,434.627
yourself,4.95353,434.333
today,4.77237,433.804
mom,2.22,430.392
friend,3.57,419.294
move,4.62,418.137
same,5.62493,417.176
job,5.39,413
tonight,4.72974,412.686
son,3.78,410.765
best,4.09032,404.373
saw,5.3585,402.49
found,5.14536,396
pretty,4.09032,392.216
ready,5.53,387.804
whole,6.89,385.49
together,5.94464,383.392
minute,7.26,377.49
head,3.42,371.51
matter,7.56,370.588
haven,9.13,369.49
excuse,6.33,368.098
many,4.60185,359.431
idea,5.95,359.039
without,6.53077,354.647
play,4.1,354.529
family,3.38,354.255
meet,4.74,352.275
run,4.47,350.549
while,7.06362,349.431
wife,5.67,348.922
once,4.97485,344.882
live,6.1,344.588
somebody,5.30522,344.529
everybody,4.87894,344.216
use,4.5,343.843
myself,3.81324,342.549
yet,6.95705,341.725
start,4.37,340.098
kid,4.28,339.196
tomorrow,5.18799,335.961
happy,2.72,333.196
school,3.89,333.118
problem,6.06,330.059
watch,4.33,330.02
bring,4.42,327.157
fucking,10.74,325.549
actually,7.33005,322.333
business,7.47,321
hope,4.89,320.627
open,5,320.412
since,6.85048,314.98
looks,4.77237,311.49
sit,3.47,311.353
cause,5.84,310.039
alone,4.94,308.529
hard,4.39,307.843
stuff,5,306.922
turn,4.11,306.471
until,5.89135,302.471
few,5.99792,301.824
kids,3.86115,301.098
honey,5.44,300.49
both,4.77237,295.333
door,3.05,292.059
later,4.75105,291.941
saying,4.95353,291.647
such,6.4242,291.216
face,3.75,289.157
worry,6.61,287.02
ago,7.11691,286.118
five,4.50594,285.451
second,4.68,284.569
brother,3.63,283.941
damn,8.3,283.529
case,6.74,282.412
beautiful,5.72,279.725
hand,2.74,279.647
check,5.53,278.98
year,5.24,277.922
forget,4.78,277.059
hit,4.75,275
crazy,5.22,272.275
late,5.28,269.725
phone,4.11,269.725
nobody,5.25193,266.647
end,4.28,265.863
easy,5.43,265.706
doctor,4.6,263.941
shut,4.89,263.824
under,5.89135,261.922
part,5.11,261.51
deal,6,261.373
die,4.53,261.137
soon,4.82565,257.647
four,4.93222,255.784
anyone,5.3585,255.255
pay,5.5,254.608
happen,5.26,254.275
true,4.64448,253.353
each,4.95353,253.255
supposed,8.67,252.255
eat,2.78,251.882
jack,6.95705,251.588
mine,4.23952,250.98
town,5.11,247.922
afraid,4.42,247.667
drink,3.47,247.392
exactly,7.4899,247.196
whatever,6.13646,246.745
hurt,4,246.353
heart,5.17,244.176
young,4.61,243.176
everyone,4.82565,241.647
chance,7.78,241.235
read,4.11,241.216
number,3.94,240.941
change,4.26,240.353
anyway,6.30697,238.51
week,5.11,238.51
married,5.15602,238.49
point,4.55,236.529
police,5.05,236.157
word,4.42,235.549
fun,3.67,235.49
wish,3.79,235.118
bit,6.47,235.039
game,4.26,233.843
party,4.58,233.137
set,6,231.471
cut,4.43,229.765
sleep,2.79,227.941
shot,5.84,227.431
anybody,5.11339,226.922
ass,7.84,226.373
stand,4.39,226.196
water,2.37,225.059
trouble,4.56,223.549
dear,5.55033,223.431
couple,5.75,223.412
eyes,3.44348,221.549
break,5.3,221.078
story,3.89,220.784
far,4.87894,220.765
times,6.7,220.02
close,4.5,219.431
means,8.28918,218.353
funny,5.47,218.176
lady,3.68,217.078
death,5.37,216.686
walk,3.45,215.863
fire,3.25,215.49
hate,5.53,214.588
gun,5.58,213.196
rest,4.22,212.961
person,4.67,212.882
inside,4.77237,211.275
different,5.5,209.529
captain,6.06,208.275
important,5.79,207.588
also,6.63734,206.431
line,4.85,206.176
yours,4.50594,204.725
office,6.68,203.902
dinner,3.99,202.667
quite,7.43662,202.588
against,7.96947,201.725
fight,5.47,201.078
side,4.72,200.922
six,5.25193,199.529
half,5.45441,199.137
pick,5.26,198.392
question,6.16,198.353
ahead,5.45441,198.333
cool,4.58,195.882
body,4.28,195.529
high,4.58,195
husband,5.53,194.804
reason,7.84,193.294
almost,5.46507,193.275
dog,2.8,192.843
buy,5.56,192.431
truth,4.42,192.176
hot,3.37,189.843
behind,4.90025,187.863
speak,3.56,187.176
bed,2.89,187.118
moment,7.95,187.039
blood,4.89,186.118
ma,4.34609,185.804
shall,8.42,185.118
daddy,2.56,185.078
stupid,4.4,184.412
along,5.41179,182.941
either,6.275,182.51
though,7.31939,181.941
front,5.18799,181.549
sister,3.68,180.529
bye,3.28038,180.078
send,5.68,179.784
welcome,4.06,179.216
sometimes,6.37092,179
trust,6.55,178.176
free,5.21,177.529
book,3.68,176.98
answer,5.43,176.196
between,5.46507,175.137
children,4.09545,175.098
war,7.67,174.745
hurry,4.44,173.647
fact,6.47,172.569
bet,7,171.824
clear,5.8,171.824
white,4.06,171.451
glad,5.79,171.373
daughter,4.95,171.353
outside,3.57878,170.02
city,6.56,169.098
bitch,10.11,168.804
feeling,5.30522,168.176
black,3.56,167.941
full,4.24,166.902
till,6.90377,166.725
sick,4.05,165.431
light,4.05,165.196
shoot,5.53,164.941
news,6.16,164.686
lose,5.78,164.353
wonderful,6.47,164
save,5.44,162.314
hour,5.85,162.294
country,7.05,161.843
able,7.79,159.902
frank,10.5804,159.392
perfect,5.78,158.647
child,5.14536,157.647
order,6.26,156.569
alive,5.11,154.471
food,3.25,154.431
luck,6.53,153.725
hair,3.17,153.549
drive,5.26,153.137
promise,5.67,153.118
sex,9.79,152.176
music,3.81,151.647
power,7.48,149.02
sort,6.80785,148.706
special,5,148.569
serious,6.58,148.353
street,4.58,148.176
red,3.68,148.059
dance,4.63,148.039
hang,6.68,147.745
touch,5.16,147.725
team,6,147.608
company,6.84,147.196
pull,4.79,146.451
plan,6.78,145.725
sweet,4.53,145.196
ten,3.57878,145
coffee,4.94,144.529
lucky,5.89,143.451
sound,3.72,143.392
safe,5.11,143.196
date,5.84,141.529
president,6.89,140.667
himself,5.2093,140.549
seem,6.74,139.824
air,3.94,139.02
picture,4.05,138.451
lord,5.95,138.157
fast,3.73864,137.451
perhaps,7.59647,136.059
catch,4.61,135.51
ride,4.67,135.373
win,4.22,134.647
top,3.89,133.431
scared,3.79,133.392
dream,4.88,133.294
sign,4.32,133.275
meeting,5.72,132.392
sense,7.32,131.804
beat,6.15,131.686
control,7.26,130.627
drop,3.26,130.608
cold,3.95,130.157
darling,5.79,129.667
figure,7.53,129.373
king,5.42,129.255
poor,6.11,129.078
throw,4.14,128.824
write,4.89,126.804
cannot,4.82565,126.765
suppose,8.21,125.804
small,3.22,124.961
human,4.83,124.765
piece,4.89,124.49
boss,6.16,124.294
hospital,5.55,124.196
uncle,4.47,124.059
past,6.78,123.765
follow,5.11,123.196
movie,3.56,122.961
christmas,4.34609,122.431
straight,6.7972,122.431
clean,3.89,121.235
kiss,3.61,121.157
evening,5.84,120.686
million,6.47,120.49
lie,3.75,120.255
felt,6.10449,119.824
certainly,7.24479,118.961
step,4.11,118.667
learn,4.44,118.569
fall,4.71,118.51
bill,6.4242,118.451
class,4.95,117.353
quiet,4.15,117.216
wonder,7.63,116.98
goodbye,3.47221,116.51
law,8.33,116.314
become,5.85,115.569
general,8.05,115.392
rather,6.93574,114.216
possible,7.32,114.039
goddamn,7.69,114.02
unless,7.22348,113.686
mad,3.55,113.412
absolutely,7.08493,113.118
tired,4.62,112.647
murder,8.79,112.098
road,4.55,111.941
mike,6.77588,111.902
eye,3.75,111.784
except,6.47749,111.686
somewhere,6.26435,111.529
explain,6.5,111.176
none,5.57164,110.608
secret,5.39,109.51
wear,4.63,109.333
worth,7.08493,109.196
act,6.42,109.118
careful,5.09,108.824
quick,5.89,108.667
handle,6.3,108.412
pass,5.39,108.118
early,5.30522,108.039
report,6.6,108
state,6.39,107.843
busy,5.95,106.529
table,4.39,105.627
wake,5.63,105.216
